TimeStamp,AccXAxis,AccYAxis,AccZAxis,GyroXAxis,GyroYAxis,GyroZAxis,,AccXAxisAvg5,AccYAxisAvg5,AccZAxisAvg5,GyroXAxisAvg5,GyroYAxisAvg5,GyroZAxisAvg5,,AccXAxisAvg10,AccYAxisAvg10,AccZAxisAvg10,GyroXAxisAvg10,GyroYAxisAvg10,GyroZAxisAvg10,,AccXAxisAvg15,AccYAxisAvg15,AccZAxisAvg15,GyroXAxisAvg15,GyroYAxisAvg15,GyroZAxisAvg15
59,87,69,-229,282,-2016,-484,,38.2,67,-287,73.2,-1347.4,-255.8,,19.3,72.3,-277.7,59.3,-695.5,-157.5,,16.9230769231,72.8461538462,-288.2307692308,0.2307692308,-333.5384615385,-50.7692307692
60,50,36,-301,986,-1762,-288,,19,68.6,-295.2,-19.6,-986.4,-189.2,,11.3,72.7,-283.9,49.7,-469.8,-81.6,,14.5384615385,72.2307692308,-294.7692307692,-114.3846153846,-6.7692307692,18.6153846154
61,31,57,-322,-1424,-1468,-264,,9.4,76,-288.6,-160.6,-653.2,-153.6,,6.6,76.1,-286.5,-117.3,-214.5,-22.9,,15.6153846154,77.3846153846,-290.4615384615,-340.2307692308,331.7692307692,99.4615384615
62,22,87,-270,161,-931,-189,,4.6,79.2,-275.6,69.8,-372.2,-112.8,,5.2,78.5,-289.5,15.9,91,37.6,,21.3846153846,82.0769230769,-277.1538461538,-312.3846153846,674.0769230769,193.8461538462
63,1,86,-313,361,-560,-54,,0.4,78.4,-273.6,75.2,-187.6,-75.6,,8.6,75.9,-293.9,-121,407.3,98.3,,28.4615384615,80.1538461538,-257.1538461538,-304.6923076923,848.3076923077,255.4615384615
64,-9,77,-270,-182,-211,-151,,0.4,77.6,-268.4,45.4,-43.6,-59.2,,14.9,77.6,-287.1,-352.1,727.2,180,,43.3076923077,77.9230769231,-240.5384615385,-428.2307692308,1061.6153846154,306.6923076923
65,2,73,-268,281,-96,-110,,3.6,76.8,-272.6,119,46.8,26,,26.4,81.7,-275,-440.1,1046.5,291.4,,59.9230769231,78.0769230769,-221.7692307692,-564.5384615385,1174.9230769231,334.6153846154
66,7,73,-257,-272,-63,-60,,3.8,76.2,-284.4,-74,224.2,107.8,,37.6,80.6,-249.2,-442.1,1189.5,363.6,,75.3076923077,78.2307692308,-195.3076923077,-646.7692307692,1268.6153846154,363.0769230769
67,1,83,-260,188,-8,-3,,5.8,77.8,-303.4,-38,554.2,188,,56.3,79,-233.2,-539.4,1417.1,430.8,,95.4615384615,77.4615384615,-171.4615384615,-635,1298.5384615385,385.0769230769
68,1,82,-287,212,160,28,,16.8,73.4,-314.2,-317.2,1002.2,272.2,,76.9,78.6,-209.8,-753.6,1544.1,452.3,,115.4615384615,76.5384615385,-150.1538461538,-662.8461538462,1306.3846153846,397.3846153846
69,7,73,-291,186,241,275,,29.4,77.6,-305.8,-749.6,1498,419.2,,97,77.9,-173.5,-853.6,1640.3,475.5,,135.5384615385,76.6153846154,-123.3846153846,-660.9230769231,1271,385.2307692308
70,3,70,-327,-684,791,299,,49.2,86.6,-277.4,-999.2,2046.2,556.8,,123.2,76.9,-139.1,-884.1,1648.8,470.6,,152.3076923077,77,-95.6153846154,-574.6923076923,1164.5384615385,368.3076923077
71,17,81,-352,-92,1587,341,,71.4,85,-214,-810.2,2154.8,619.4,,149,77,-104.7,-833.1,1579.1,456.4,,169.6923076923,76.5384615385,-69,-434.5384615385,972.4615384615,330.1538461538
72,56,61,-314,-1208,2232,418,,106.8,80.2,-163,-1040.8,2280,673.6,,173.5,77.2,-63.4,-800.2,1390.4,409.3,,183.6153846154,72.4615384615,-46.3846153846,-344.6923076923,680.0769230769,263.4615384615
73,64,103,-245,-1950,2639,763,,137,83.8,-105.4,-1190,2086,632.4,,190.4,78.9,-25,-548.7,1052.9,373,,189.5384615385,72.5384615385,-25.8461538462,-286.9230769231,155.7692307692,120
74,106,118,-149,-1062,2982,963,,164.6,78.2,-41.2,-957.6,1782.6,531.8,,206.9,75,1.4,-239.9,618.4,277,,192,76,-13.3076923077,-58.8461538462,-264.7692307692,18.6153846154
75,114,62,-10,261,1334,612,,197.2,67.2,-0.8,-769,1251.4,384.4,,216.1,66,10.5,-26.1,98.8,128.1,,187.4615384615,72.4615384615,-21.3846153846,192.7692307692,-672,-112.4615384615
76,194,57,-97,-1245,2213,612,,226.6,69,4.6,-856,1003.4,293.4,,218,66,6.8,-97.9,-493,-77.8,,179.5384615385,73.9230769231,-45.6923076923,273.9230769231,-906.1538461538,-172.6153846154
77,207,79,-26,-1954,1262,212,,240.2,74.2,36.2,-559.6,500.8,145,,208.2,75.1,8.3,128.1,-997.1,-194.5,,164.4615384615,73.0769230769,-64,277.3076923077,-1179.8461538462,-205.8461538462
78,202,75,76,-788,1122,260,,243.8,74,55.4,92.6,19.8,113.6,,192.2,74.4,-14.5,544.4,-1354.5,-289.8,,149.0769230769,76.3076923077,-86.7692307692,288.3846153846,-1307.1538461539,-229.3076923077
79,269,63,53,-119,326,226,,249.2,71.8,44,477.8,-545.8,22.2,,173.1,75,-54.7,754.8,-1637.7,-332.8,,132.1538461538,80.4615384615,-112.6923076923,380.0769230769,-1417.4615384615,-241.2307692308
80,261,71,17,-174,94,157,,235,64.8,21.8,716.8,-1053.8,-128.2,,146,73.3,-93.5,646.6,-1804.8,-337.4,,111.8461538462,82.7692307692,-138,402,-1444.5384615385,-262.7692307692
81,262,83,61,237,-300,-130,,209.4,63,9,660.2,-1989.4,-449,,120.6,78.3,-127.4,483,-1853.5,-362.4,,90.9230769231,86.7692307692,-157.1538461538,411,-1447.8461538462,-269.6923076923
82,225,78,70,1307,-1143,55,,176.2,76,-19.6,815.8,-2495,-534,,92.6,82.9,-159.6,499.7,-1854.7,-338.9,,70.8461538462,87.4615384615,-181.4615384615,386.5384615385,-1425.6923076923,-255.6153846154
83,229,64,19,1138,-1706,-197,,140.6,74.8,-84.4,996.2,-2728.8,-693.2,,70.6,84.4,-194.2,385.6,-1743,-349.8,,53.4615384615,89.5384615385,-205.7692307692,246.9230769231,-1334.3076923077,-257.9230769231
84,198,28,-58,1076,-2214,-526,,97,78.2,-153.4,1031.8,-2729.6,-687.8,,46.6,90.3,-219.3,266.1,-1567.3,-323.4,,35.8461538462,95.2307692308,-228.6923076923,167.7692307692,-1191.1538461539,-224.5384615385
85,133,62,-47,-457,-4584,-1447,,57,81.8,-208.8,576.4,-2555.8,-546.6,,26.9,96.7,-239,150.4,-1347.1,-265.5,,20.9230769231,106.3076923077,-250.0769230769,30.0769230769,-965.6923076923,-144.8461538462
86,96,148,-82,1015,-2828,-555,,31.8,93.6,-263.8,305.8,-1717.6,-275.8,,13.5,101,-258.9,145.3,-884.2,-118.3,,9.0769230769,117.5384615385,-269.9230769231,-41.1538461538,-502.0769230769,72.2307692308
87,47,72,-254,2209,-2312,-741,,9,89.8,-299.6,183.6,-1214.4,-143.8,,3.9,100,-278.6,54.7,-585.9,-39.1,,6.6153846154,116.8461538462,-286.6923076923,-159,-124.2307692308,194
88,11,81,-326,1316,-1710,-170,,0.6,94,-304,-225,-757.2,-6.4,,-0.4,110,-286.8,-237.6,-283,86,,8.9230769231,119.3076923077,-282,-419.6923076923,233.1538461538,360.7692307692
89,-2,46,-335,-1201,-1345,180,,-3.8,102.4,-285.2,-499.6,-405,41,,-3.6,122.7,-284.7,-507.5,32.3,240.5,,14.3846153846,122,-265.0769230769,-606.9230769231,539.0769230769,486.1538461538
90,7,121,-322,-1810,-393,-93,,-3.2,111.6,-269.2,-275.6,-138.4,15.6,,3,132,-281.2,-439.1,375.2,325.3,,29,125.7692307692,-241.5384615385,-505,832.8461538462,559
91,-18,129,-261,404,-312,105,,-4.8,108.4,-254,-15.2,-50.8,39.2,,10,130.3,-268.3,-376.1,647.9,477.3,,43.7692307692,122.2307692308,-221.4615384615,-411.0769230769,932.7692307692,613.1538461538
92,5,93,-276,166,-26,-54,,-1.2,110.2,-257.6,-74.2,42.6,65.6,,20,129,-252.8,-528.3,905.8,612.8,,61.9230769231,121.4615384615,-206.1538461538,-560.6153846154,1070.4615384615,669.5384615385
93,-11,123,-232,-57,51,67,,-1.4,126,-269.6,-250.2,191.2,178.4,,38.3,129.2,-228.1,-532.5,1155.8,730.9,,80,118.8461538462,-182.3846153846,-639.6153846154,1129.6923076923,734.2307692308
94,1,92,-255,-81,-12,53,,-3.4,143,-284.2,-515.4,469.6,440,,59.3,124.4,-211,-585.7,1241.3,785.3,,99.8461538462,113.9230769231,-163.8461538462,-607.8461538462,1163.5384615385,731.7692307692
95,-1,105,-246,-508,45,25,,9.2,152.4,-293.2,-602.6,888.8,635,,81,127.1,-191.7,-731.6,1390.3,863.8,,122.0769230769,110.9230769231,-141.8461538462,-573.9230769231,1182.0769230769,731.4615384615
